-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  37.9758   Longitude 23.7351 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 140.03 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT          CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_UVA     CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB     CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
T2M                MERRA-2 Temperature at 2 Meters (C) 
QV2M               MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M              MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M               MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,ALLSKY_KT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,QV2M,WS10M,RH2M
2021,1,1,0.69,5.87,0.06,12.06,5.74,2.25,66.12
2021,1,2,0.35,3.7,0.04,12.87,7.45,2.5,79.69
2021,1,3,0.52,4.93,0.05,13.99,9.16,4.91,91.75
2021,1,4,0.28,3.18,0.04,14.01,9.16,7.07,90.5
2021,1,5,0.63,5.74,0.06,11.37,6.16,3.77,73.88
2021,1,6,0.52,5.05,0.05,11.92,6.71,3.64,77.62
2021,1,7,0.3,3.32,0.04,12.51,8.0,4.3,88.94
2021,1,8,0.59,5.64,0.06,14.4,9.89,6.2,94.62
2021,1,9,0.56,5.38,0.05,16.63,10.74,4.24,90.62
2021,1,10,0.55,5.43,0.06,16.51,11.05,4.16,94.06
2021,1,11,0.55,5.33,0.05,16.68,11.11,6.41,93.38
2021,1,12,0.32,3.47,0.04,14.94,9.89,5.7,91.38
2021,1,13,0.63,6.09,0.06,10.51,6.1,4.28,76.69
2021,1,14,0.67,6.1,0.05,8.57,4.82,5.24,69.38
2021,1,15,0.23,2.9,0.03,7.58,4.88,5.88,75.25
2021,1,16,0.13,1.85,0.02,6.01,5.13,6.3,87.56
2021,1,17,0.68,6.25,0.05,2.95,3.3,7.1,70.75
2021,1,18,0.27,3.27,0.03,3.73,3.91,5.88,78.25
2021,1,19,0.66,6.31,0.05,4.26,3.72,4.7,72.56
2021,1,20,0.7,6.74,0.07,6.75,4.03,2.96,66.5
2021,1,21,0.66,6.59,0.08,10.1,5.86,3.45,76.94
2021,1,22,0.39,4.67,0.05,11.3,7.14,4.62,86.19
2021,1,23,0.37,4.38,0.05,11.93,6.9,6.87,79.44
2021,1,24,0.49,5.59,0.06,12.53,7.39,5.65,81.25
2021,1,25,0.67,7.04,0.06,13.16,7.2,6.35,76.25
2021,1,26,0.28,3.69,0.04,12.71,7.81,7.78,83.62
2021,1,27,0.53,5.69,0.05,5.37,4.03,8.78,71.62
2021,1,28,0.67,6.81,0.06,4.83,3.42,4.81,63.94
2021,1,29,0.66,7.45,0.08,8.9,5.55,4.03,74.75
2021,1,30,0.63,7.14,0.09,13.05,7.57,6.31,80.19
2021,1,31,0.59,7.09,0.09,12.69,8.12,5.39,87.44
2021,2,1,0.23,3.18,0.03,13.8,8.97,5.7,89.44
2021,2,2,0.63,7.56,0.09,12.74,8.0,3.21,87.25
2021,2,3,0.67,7.82,0.09,13.82,7.69,1.45,78.75
2021,2,4,0.71,8.23,0.11,13.08,7.93,2.96,84.5
2021,2,5,0.65,7.83,0.1,12.62,7.81,2.27,87.06
2021,2,6,0.7,8.33,0.12,13.24,7.93,2.6,84.31
2021,2,7,0.53,6.98,0.1,13.44,7.87,3.46,81.19
2021,2,8,0.4,5.19,0.08,14.34,8.91,7.43,86.5
2021,2,9,0.67,8.55,0.12,13.48,7.87,5.7,81.81
2021,2,10,0.62,8.08,0.11,12.94,7.51,4.09,81.19
2021,2,11,0.54,7.17,0.1,13.29,8.18,7.05,85.25
2021,2,12,0.71,9.18,0.12,10.83,5.8,4.38,72.81
2021,2,13,0.14,2.56,0.04,9.29,5.86,4.5,80.25
2021,2,14,0.14,2.53,0.04,6.73,5.37,7.65,87.31
2021,2,15,0.33,5.12,0.08,3.73,3.97,11.45,79.94
2021,2,16,0.45,6.29,0.08,3.31,3.85,8.95,79.56
2021,2,17,0.66,9.0,0.12,4.83,3.72,4.13,70.81
2021,2,18,0.54,7.66,0.1,8.6,4.39,3.11,62.44
2021,2,19,0.7,9.42,0.12,10.21,4.64,2.39,61.5
2021,2,20,0.59,8.53,0.12,10.76,5.49,1.92,69.31
2021,2,21,0.57,8.29,0.1,8.99,5.8,6.61,82.12
2021,2,22,0.71,9.77,0.13,9.4,5.8,4.25,80.5
2021,2,23,0.72,10.14,0.15,10.6,6.41,4.09,82.81
2021,2,24,0.72,10.25,0.16,11.28,6.71,5.3,83.0
2021,2,25,0.66,9.84,0.16,10.6,6.47,8.09,82.88
2021,2,26,0.7,10.27,0.16,11.49,6.84,5.49,82.75
2021,2,27,0.72,10.68,0.16,12.4,7.26,2.38,80.12
2021,2,28,0.49,8.08,0.12,10.48,6.71,6.36,84.75
2021,3,1,0.69,10.75,0.18,10.01,5.43,4.05,72.44
2021,3,2,0.49,8.36,0.14,8.36,5.07,7.19,74.94
2021,3,3,0.72,11.12,0.18,9.55,5.49,6.58,76.19
2021,3,4,0.74,11.7,0.22,11.22,5.98,3.12,74.94
2021,3,5,0.7,11.13,0.22,12.05,6.47,3.08,75.94
2021,3,6,0.66,10.6,0.18,13.26,7.14,2.94,75.81
2021,3,7,0.31,6.23,0.12,10.19,6.1,5.6,79.5
2021,3,8,0.54,9.59,0.17,10.88,6.1,2.11,74.94
2021,3,9,0.52,9.02,0.14,12.06,6.71,3.38,76.94
2021,3,10,0.66,11.3,0.19,13.08,7.14,2.97,77.06
2021,3,11,0.52,9.48,0.16,9.56,6.04,7.03,80.88
2021,3,12,0.72,12.44,0.2,10.01,5.25,2.48,69.75
2021,3,13,0.54,10.29,0.2,12.15,6.53,2.8,74.75
2021,3,14,0.35,7.2,0.14,12.8,7.39,2.34,80.88
2021,3,15,0.53,10.01,0.19,12.11,6.53,6.2,73.88
2021,3,16,0.67,11.98,0.18,10.7,5.25,7.39,65.06
2021,3,17,0.64,11.39,0.16,10.06,4.76,5.17,63.0
2021,3,18,0.7,12.6,0.19,10.03,4.76,3.87,63.56
2021,3,19,0.57,11.2,0.18,12.67,7.2,4.75,78.94
2021,3,20,0.41,8.53,0.15,12.58,8.0,2.31,87.56
2021,3,21,0.39,7.68,0.15,14.22,9.22,3.02,89.88
2021,3,22,0.63,12.16,0.2,14.06,7.63,4.73,76.0
2021,3,23,0.31,7.27,0.12,8.89,5.86,8.25,81.88
2021,3,24,0.6,11.62,0.16,7.69,4.46,6.97,68.88
2021,3,25,0.6,11.55,0.17,6.01,3.66,4.91,64.81
2021,3,26,0.72,13.41,0.22,8.41,3.6,2.34,54.5
2021,3,27,0.72,13.72,0.25,11.1,4.76,1.77,59.69
2021,3,28,0.7,13.6,0.27,12.98,5.8,1.78,64.88
2021,3,29,0.67,13.3,0.25,13.03,6.96,3.02,76.31
2021,3,30,0.55,11.59,0.23,12.27,5.68,6.12,65.88
2021,3,31,0.37,8.34,0.15,9.57,5.55,9.77,75.19
2021,4,1,0.32,7.21,0.12,9.04,5.31,5.93,73.94
2021,4,2,0.7,14.03,0.22,13.05,6.53,3.07,69.44
2021,4,3,0.71,14.66,0.24,14.83,7.75,3.88,75.44
2021,4,4,0.48,9.97,0.18,15.56,9.34,4.74,83.62
2021,4,5,0.26,5.35,0.09,13.76,7.87,3.92,80.5
2021,4,6,0.58,12.28,0.23,14.48,8.18,3.74,79.25
2021,4,7,0.73,15.66,0.3,15.01,7.45,5.41,71.19
2021,4,8,0.5,11.21,0.22,11.64,6.04,6.59,70.44
2021,4,9,0.64,13.62,0.23,9.42,3.97,6.1,56.44
2021,4,10,0.73,15.62,0.28,10.37,4.33,2.98,57.62
2021,4,11,0.7,15.04,0.29,12.4,5.13,1.45,58.5
2021,4,12,0.7,15.23,0.3,13.83,5.86,2.01,61.56
2021,4,13,0.49,11.88,0.23,15.62,7.14,2.5,67.75
2021,4,14,0.59,13.88,0.26,14.93,6.9,2.67,66.19
2021,4,15,0.73,16.23,0.3,14.19,6.71,3.08,69.25
2021,4,16,0.41,9.97,0.2,14.08,7.51,3.85,75.56
2021,4,17,0.48,10.52,0.21,16.12,8.97,3.55,78.88
2021,4,18,0.23,5.95,0.12,15.28,9.03,2.02,83.5
2021,4,19,0.63,14.35,0.3,15.45,7.63,4.09,71.06
2021,4,20,0.72,16.78,0.35,13.73,6.71,4.62,70.25
2021,4,21,0.71,16.17,0.34,14.21,6.53,3.48,66.88
2021,4,22,0.7,16.79,0.36,15.44,6.84,2.65,64.69
2021,4,23,0.66,16.05,0.36,16.72,7.57,2.55,66.69
2021,4,24,0.12,3.53,0.07,14.15,8.91,5.7,88.44
2021,4,25,0.47,12.12,0.23,13.46,7.45,7.61,78.12
2021,4,26,0.73,17.25,0.37,14.37,7.14,3.87,71.94
2021,4,27,0.61,15.22,0.34,15.67,8.12,3.66,73.88
2021,4,28,0.45,11.34,0.25,17.78,10.13,4.42,80.38
