-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  50.8492   Longitude 4.3502 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 36.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT          CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_UVA     CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB     CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
T2M                MERRA-2 Temperature at 2 Meters (C) 
QV2M               MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M              MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M               MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,ALLSKY_KT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,QV2M,WS10M,RH2M
2021,1,1,0.38,1.47,0.01,0.87,3.91,3.21,96.88
2021,1,2,0.32,1.44,0.01,1.78,4.15,2.0,96.25
2021,1,3,0.2,0.96,0.01,0.99,3.85,3.72,94.56
2021,1,4,0.21,0.97,0.01,1.23,3.91,5.77,94.75
2021,1,5,0.15,0.7,0.0,0.66,3.72,4.31,94.81
2021,1,6,0.16,0.75,0.0,0.85,3.85,3.27,95.31
2021,1,7,0.28,1.38,0.01,1.36,4.09,3.38,97.19
2021,1,8,0.26,1.3,0.01,1.49,4.03,3.16,96.25
2021,1,9,0.45,1.91,0.01,0.05,3.72,1.73,97.88
2021,1,10,0.53,2.29,0.02,0.18,3.66,2.58,95.12
2021,1,11,0.3,1.38,0.01,2.19,4.27,7.09,96.25
2021,1,12,0.32,1.64,0.01,5.15,5.07,6.66,90.88
2021,1,13,0.46,2.12,0.02,2.16,4.09,3.95,93.06
2021,1,14,0.23,1.21,0.01,0.8,3.72,4.6,93.0
2021,1,15,0.22,1.23,0.01,-1.38,3.05,3.32,92.0
2021,1,16,0.22,1.26,0.01,-1.34,3.05,4.52,90.88
2021,1,17,0.28,1.51,0.01,2.91,4.58,4.3,97.5
2021,1,18,0.35,1.84,0.01,3.06,4.46,6.15,95.56
2021,1,19,0.13,0.8,0.01,5.17,5.19,10.48,93.38
2021,1,20,0.37,2.12,0.02,7.12,5.13,10.48,81.0
2021,1,21,0.41,2.27,0.02,7.07,5.37,10.33,84.06
2021,1,22,0.45,2.43,0.02,3.02,4.52,4.31,93.62
2021,1,23,0.31,1.94,0.01,2.61,4.33,4.08,93.62
2021,1,24,0.36,2.02,0.01,1.17,3.6,4.27,86.81
2021,1,25,0.36,1.91,0.01,0.37,3.54,3.98,91.31
2021,1,26,0.45,2.59,0.02,2.4,3.97,5.73,89.31
2021,1,27,0.19,1.3,0.01,3.69,4.76,5.13,95.56
2021,1,28,0.23,1.52,0.01,7.39,6.29,5.27,96.25
2021,1,29,0.33,2.22,0.02,8.26,6.35,7.6,92.25
2021,1,30,0.21,1.59,0.01,2.01,4.09,6.58,91.0
2021,1,31,0.3,1.91,0.01,-0.04,3.42,5.4,90.31
