-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  40.5213   Longitude 21.2618 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 956.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT          CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_UVA     CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB     CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
T2M                MERRA-2 Temperature at 2 Meters (C) 
RH2M               MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M               MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M              MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_KT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,RH2M,QV2M,WS10M
2021,1,1,0.71,5.11,0.04,3.19,80.69,4.21,1.92
2021,1,2,0.55,4.32,0.04,2.48,86.69,4.33,2.97
2021,1,3,0.55,4.43,0.04,5.37,92.06,5.74,2.47
2021,1,4,0.16,1.62,0.02,3.83,97.62,5.49,4.1
2021,1,5,0.65,4.91,0.05,2.3,88.81,4.39,3.04
2021,1,6,0.34,3.05,0.03,4.54,92.5,5.37,3.23
2021,1,7,0.22,2.17,0.02,6.21,93.75,6.16,4.19
2021,1,8,0.34,3.0,0.03,8.2,92.0,6.9,5.21
2021,1,9,0.41,3.67,0.03,7.26,92.88,6.53,1.76
2021,1,10,0.26,2.43,0.02,8.94,96.25,7.69,2.94
2021,1,11,0.16,1.7,0.02,9.08,92.81,7.45,3.27
2021,1,12,0.48,4.17,0.04,3.92,92.56,5.25,2.69
2021,1,13,0.52,4.83,0.05,0.82,85.81,3.78,3.3
2021,1,14,0.54,4.73,0.04,-1.17,79.75,2.99,3.73
2021,1,15,0.58,4.66,0.05,-3.88,79.94,2.38,2.77
2021,1,16,0.28,2.77,0.02,-6.49,84.25,2.08,4.14
2021,1,17,0.54,4.51,0.03,-6.87,74.31,1.77,2.53
2021,1,18,0.55,4.68,0.04,-6.6,82.25,1.95,2.06
2021,1,19,0.66,5.73,0.04,-5.47,80.38,2.14,2.62
2021,1,20,0.66,6.02,0.05,-1.95,90.19,3.23,3.36
2021,1,21,0.43,4.52,0.05,1.8,97.38,4.7,2.25
2021,1,22,0.51,5.16,0.04,2.79,97.44,5.13,3.05
2021,1,23,0.21,2.36,0.03,2.57,98.5,5.19,3.16
2021,1,24,0.39,4.04,0.04,3.05,93.94,5.0,4.77
2021,1,25,0.61,5.71,0.05,3.12,86.38,4.58,6.32
2021,1,26,0.18,2.11,0.02,1.01,91.94,4.33,4.84
2021,1,27,0.48,4.66,0.05,-3.37,76.06,2.44,6.13
2021,1,28,0.74,6.69,0.05,-3.49,74.5,2.32,3.55
2021,1,29,0.66,6.59,0.06,0.98,92.38,4.33,3.65
2021,1,30,0.63,6.34,0.07,3.1,90.94,4.94,5.12
2021,1,31,0.25,3.02,0.03,3.69,96.69,5.55,3.56
2021,2,1,0.5,5.46,0.05,4.35,93.44,5.49,2.93
2021,2,2,0.45,5.17,0.06,5.05,95.94,5.86,1.87
2021,2,3,0.72,7.46,0.08,6.06,88.5,5.74,2.29
2021,2,4,0.7,7.48,0.09,6.44,90.0,6.04,4.15
2021,2,5,0.65,7.02,0.09,7.59,75.81,5.31,1.91
2021,2,6,0.7,7.61,0.09,6.98,81.38,5.55,3.21
2021,2,7,0.35,4.38,0.06,5.83,84.19,5.37,3.02
2021,2,8,0.24,2.94,0.04,6.14,91.94,6.04,4.99
2021,2,9,0.31,4.11,0.05,5.67,91.5,5.8,4.72
2021,2,10,0.52,6.35,0.08,5.67,90.56,5.74,5.21
2021,2,11,0.25,3.35,0.05,4.89,94.56,5.74,4.23
2021,2,12,0.59,7.07,0.09,1.18,82.12,3.66,2.83
2021,2,13,0.16,2.28,0.03,-4.35,89.81,2.62,4.7
2021,2,14,0.19,2.64,0.03,-7.84,89.94,1.95,5.53
2021,2,15,0.5,6.01,0.06,-9.03,90.19,1.77,5.73
2021,2,16,0.52,6.35,0.07,-8.75,83.75,1.71,3.24
2021,2,17,0.45,5.66,0.06,-3.75,81.62,2.62,2.54
2021,2,18,0.57,7.23,0.08,0.5,83.44,3.54,2.56
2021,2,19,0.56,7.32,0.1,2.67,73.75,3.66,1.8
2021,2,20,0.49,6.84,0.08,2.26,92.94,4.58,2.53
2021,2,21,0.54,7.16,0.08,2.47,90.75,4.52,1.72
2021,2,22,0.71,9.39,0.13,4.67,79.19,4.52,1.95
2021,2,23,0.75,10.0,0.15,6.17,74.88,4.7,2.59
2021,2,24,0.73,9.66,0.14,5.9,79.69,4.94,2.96
2021,2,25,0.68,9.27,0.13,6.95,78.38,5.25,1.37
2021,2,26,0.73,10.12,0.14,9.01,70.0,5.43,0.9
2021,2,27,0.73,10.24,0.12,8.44,75.62,5.62,2.88
2021,2,28,0.48,7.24,0.11,3.42,82.31,4.33,3.59
2021,3,1,0.74,10.51,0.16,3.76,79.31,4.27,2.19
2021,3,2,0.74,10.54,0.16,1.7,78.44,3.54,2.62
2021,3,3,0.77,11.05,0.16,4.94,65.88,3.66,1.99
2021,3,4,0.77,11.35,0.18,6.51,64.19,4.21,2.54
2021,3,5,0.73,10.95,0.19,4.87,79.0,4.58,3.29
2021,3,6,0.33,5.72,0.1,3.51,87.75,4.76,2.98
2021,3,7,0.59,9.36,0.16,2.17,76.31,3.72,1.69
2021,3,8,0.55,9.03,0.15,4.73,83.81,4.94,2.25
2021,3,9,0.28,5.2,0.09,5.15,88.81,5.43,2.72
2021,3,10,0.23,4.39,0.07,5.61,89.94,5.68,3.8
2021,3,11,0.65,10.28,0.15,0.16,75.75,3.17,4.05
2021,3,12,0.6,10.14,0.2,3.87,73.06,3.97,2.8
2021,3,13,0.55,9.66,0.18,5.46,88.56,5.55,3.33
2021,3,14,0.66,11.34,0.18,6.69,86.19,5.86,2.79
2021,3,15,0.5,9.03,0.15,3.42,84.94,4.58,4.13
2021,3,16,0.37,6.7,0.09,1.66,75.56,3.54,4.9
2021,3,17,0.52,8.83,0.11,0.74,70.94,3.05,4.3
2021,3,18,0.64,10.96,0.15,1.71,74.25,3.48,1.96
2021,3,19,0.49,8.84,0.13,2.56,73.06,3.6,1.64
2021,3,20,0.11,2.61,0.04,1.25,93.94,4.33,2.87
2021,3,21,0.13,2.64,0.04,0.19,96.69,4.15,3.7
2021,3,22,0.24,5.28,0.09,1.13,90.94,4.21,3.05
2021,3,23,0.27,5.73,0.08,-1.77,88.31,3.23,4.88
2021,3,24,0.45,8.45,0.12,-1.41,79.94,2.93,4.61
2021,3,25,0.61,12.02,0.18,-1.19,72.19,2.69,2.34
2021,3,26,0.72,13.73,0.22,2.58,69.0,3.42,1.95
2021,3,27,0.73,14.13,0.24,5.34,74.75,4.39,2.05
2021,3,28,0.62,12.14,0.24,7.14,78.62,5.31,2.66
2021,3,29,0.55,11.09,0.21,6.77,80.38,5.37,2.8
2021,3,30,0.65,12.77,0.23,5.97,69.5,4.33,3.26
2021,3,31,0.75,14.38,0.24,5.62,69.94,4.27,3.59
2021,4,1,0.66,12.82,0.22,7.25,69.38,4.82,3.09
2021,4,2,0.62,12.28,0.2,8.4,81.12,6.1,3.73
2021,4,3,0.63,12.88,0.21,8.42,82.31,6.23,3.73
2021,4,4,0.37,8.05,0.13,7.4,84.06,5.98,2.53
2021,4,5,0.57,12.1,0.2,4.98,79.81,4.7,2.45
2021,4,6,0.68,14.18,0.26,7.07,77.0,5.13,3.17
2021,4,7,0.38,8.58,0.16,6.52,83.62,5.55,5.3
2021,4,8,0.58,11.58,0.2,0.13,71.19,2.93,4.65
2021,4,9,0.77,15.64,0.25,1.8,57.75,2.75,2.02
2021,4,10,0.74,15.47,0.28,5.4,61.06,3.72,2.06
2021,4,11,0.7,15.1,0.29,8.42,63.5,4.7,1.12
2021,4,12,0.64,14.05,0.27,10.49,74.56,6.35,1.81
2021,4,13,0.45,9.98,0.18,9.3,68.44,5.31,3.06
2021,4,14,0.59,13.23,0.23,5.95,79.62,5.0,4.15
2021,4,15,0.76,16.41,0.3,5.05,71.62,4.09,2.42
2021,4,16,0.38,9.14,0.19,5.01,81.38,4.82,3.12
2021,4,17,0.12,3.23,0.06,6.01,93.56,6.1,3.84
2021,4,18,0.45,10.92,0.22,9.55,79.62,6.41,2.44
2021,4,19,0.4,9.83,0.18,5.87,84.31,5.37,3.23
2021,4,20,0.51,11.75,0.2,5.69,81.81,5.07,3.2
2021,4,21,0.62,13.95,0.25,6.4,78.19,5.0,2.57
2021,4,22,0.47,11.31,0.22,6.73,81.75,5.37,2.27
2021,4,23,0.23,6.35,0.12,6.91,89.62,6.1,1.82
2021,4,24,0.17,4.95,0.09,6.55,88.56,5.86,2.97
2021,4,25,0.64,15.54,0.29,10.23,69.19,5.86,1.68
2021,4,26,0.7,16.7,0.34,11.96,69.62,6.59,1.72
