-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2021 
Location: Latitude  40.5213   Longitude 21.2618 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 956.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,WS10M
2019,1,1,-1.45,-4.87,-3.16,2.87,78.94,0.01,2.91
2019,1,2,-1.67,-5.95,-3.81,2.69,75.81,0.61,2.23
2019,1,3,-3.92,-6.09,-5.01,2.69,86.62,4.42,6.13
2019,1,4,-6.42,-8.76,-7.6,2.08,85.88,2.75,3.77
2019,1,5,-7.11,-9.52,-8.31,1.95,85.75,0.49,2.88
2019,1,6,-5.71,-8.64,-7.18,2.14,82.06,0.01,3.52
2019,1,7,-8.43,-10.92,-9.67,1.77,85.06,0.26,3.74
2019,1,8,-8.35,-12.17,-10.26,1.53,77.31,0.02,1.93
2019,1,9,-3.49,-4.5,-4.0,3.11,94.75,11.97,2.73
2019,1,10,-0.07,-0.46,-0.27,4.15,97.69,11.8,3.11
2019,1,11,-2.37,-3.31,-2.84,3.36,95.25,0.87,1.98
2019,1,12,-8.86,-10.08,-9.47,1.89,93.56,0.1,3.31
2019,1,13,-6.7,-8.99,-7.85,2.14,85.0,0.0,2.29
2019,1,14,-3.99,-5.19,-4.59,2.99,93.12,0.25,2.2
2019,1,15,-7.95,-10.47,-9.2,1.89,85.12,0.01,4.98
2019,1,16,-6.35,-8.46,-7.41,2.26,87.88,0.0,4.02
2019,1,17,-2.4,-4.7,-3.56,2.99,86.88,0.02,2.71
2019,1,18,0.92,0.55,0.73,4.39,96.62,0.49,1.93
2019,1,19,1.37,1.16,1.26,4.58,97.62,1.44,1.36
2019,1,20,1.87,1.39,1.63,4.64,95.75,2.16,1.7
2019,1,21,1.64,0.95,1.3,4.52,93.5,0.83,2.01
2019,1,22,1.8,2.06,1.93,4.94,98.44,6.09,3.08
2019,1,23,1.71,1.75,1.73,4.88,98.69,16.8,2.88
2019,1,24,1.69,-1.08,0.3,3.97,83.56,3.34,2.59
2019,1,25,0.22,-0.44,-0.11,4.21,95.94,13.11,2.75
2019,1,26,-4.69,-6.11,-5.4,2.69,92.44,5.31,4.64
2019,1,27,-1.5,-3.56,-2.53,3.3,88.19,0.01,2.32
2019,1,28,1.39,1.24,1.31,4.7,97.0,2.49,2.96
2019,1,29,1.29,1.44,1.36,4.76,99.0,10.25,2.22
2019,1,30,1.68,1.12,1.4,4.64,95.44,4.73,2.43
2019,1,31,0.08,-1.11,-0.52,3.91,91.94,2.7,3.82
2019,2,1,1.77,1.21,1.49,4.64,94.5,0.14,2.88
2019,2,2,3.81,3.47,3.64,5.43,94.31,0.01,3.16
2019,2,3,4.56,3.22,3.89,5.31,89.44,0.0,4.02
2019,2,4,5.1,5.16,5.13,6.1,97.62,0.16,2.46
2019,2,5,4.43,3.05,3.73,5.25,89.75,0.08,3.86
2019,2,6,1.45,0.28,0.87,4.33,92.19,1.14,4.3
2019,2,7,1.01,-1.38,-0.19,3.78,85.19,0.03,2.16
2019,2,8,1.98,-0.38,0.8,4.09,85.69,0.0,1.36
2019,2,9,2.55,-0.25,1.15,4.15,83.31,0.0,1.34
2019,2,10,2.5,-0.07,1.22,4.15,84.31,0.01,2.96
2019,2,11,4.42,2.91,3.67,5.25,89.06,1.56,5.42
2019,2,12,-0.41,-2.77,-1.59,3.48,85.06,2.75,4.27
2019,2,13,-3.4,-6.52,-4.96,2.5,80.56,0.0,7.09
2019,2,14,-2.1,-5.15,-3.63,2.81,82.06,0.0,6.02
2019,2,15,-1.45,-4.05,-2.75,3.05,84.62,0.03,4.42
2019,2,16,-0.47,-3.99,-2.23,3.05,79.12,0.0,2.86
2019,2,17,2.02,-3.14,-0.56,3.3,70.44,0.0,2.06
2019,2,18,6.01,-2.03,1.99,3.6,57.12,0.0,1.04
2019,2,19,5.59,-0.72,2.44,3.97,66.06,0.0,1.53
2019,2,20,4.08,-0.27,1.9,4.09,74.62,0.0,2.84
2019,2,21,4.3,-1.7,1.3,3.66,67.0,0.0,2.52
2019,2,22,2.48,-1.18,0.65,3.85,78.0,0.12,2.52
2019,2,23,-3.62,-6.47,-5.05,2.56,82.0,1.5,7.31
2019,2,24,-4.7,-8.13,-6.42,2.2,78.81,0.0,4.94
2019,2,25,-3.35,-7.2,-5.27,2.38,77.19,0.0,4.19
2019,2,26,0.99,-4.02,-1.52,3.11,71.88,0.0,3.62
2019,2,27,0.4,-3.51,-1.56,3.23,76.5,0.0,4.28
2019,2,28,1.46,-2.63,-0.59,3.48,77.88,0.0,3.27
2019,3,1,4.55,-1.07,1.74,3.97,70.5,0.0,3.3
2019,3,2,3.51,1.4,2.46,4.7,86.56,0.0,3.46
2019,3,3,3.22,-1.31,0.95,3.85,74.12,0.0,2.28
2019,3,4,4.27,-0.97,1.65,3.91,71.31,0.0,2.59
2019,3,5,5.69,2.44,4.07,5.07,81.81,0.0,4.18
2019,3,6,7.29,4.2,5.74,5.68,82.44,0.0,3.16
2019,3,7,8.22,3.66,5.94,5.49,75.38,0.0,2.79
2019,3,8,8.01,-0.64,3.69,4.03,56.88,0.0,2.74
2019,3,9,7.69,2.25,4.97,5.0,70.88,0.0,3.73
2019,3,10,7.99,3.88,5.94,5.55,79.12,0.0,4.12
2019,3,11,7.78,4.5,6.14,5.86,82.12,0.07,4.38
2019,3,12,2.35,0.01,1.18,4.27,85.19,6.21,5.98
2019,3,13,2.5,-1.69,0.4,3.72,77.0,0.11,2.65
2019,3,14,1.81,-0.24,0.79,4.15,87.0,3.14,1.94
